1314,ago-13,M,M19,1900,3147,2598,1126,3978,4484,2908,624,2473,904,3811,6168,1328,5712,1030,1980,N
1314,sep-13,M,M20,3141,5614,2420,1272,3333,6304,4571,1691,4849,1963,2170,5340,2973,5251,2052,3226,N
1314,oct-13,M,M21,3896,5882,3025,2096,3027,6707,6762,2395,6829,3137,3039,8541,3920,7680,2729,3729,N
1314,nov-13,M,M22,2010,4345,2215,1596,3378,4940,5457,1554,6382,2009,2725,7772,4072,4833,2176,422,N
1314,ene-14,M,M23,2260,6834,3837,2140,4149,7463,7925,1887,6581,1126,2001,2710,736,2813,2083,353,N
1314,feb-14,M,M24,1375,2801,3079,2404,3043,3433,3815,1037,4188,1856,4120,4357,2244,5012,1570,3097,N
1314,mar-14,M,M25,3186,5579,4833,4874,2754,5335,6684,1322,5453,2057,4521,4914,2450,5148,1817,3752,N
1314,abr-14,M,M26,1177,1000,581,680,1160,1280,1803,1081,726,2063,4162,5791,3199,4397,514,2762,N
1314,may-14,M,M27,356,33,60,51,90,135,26,143,38,837,2094,2601,1698,1119,7,3572,N
1415,ago-14,M,M28,1677,2192,2113,506,2320,528,3231,569,3048,1523,2507,2891,3058,3353,1124,2048,N
1415,ago-14,M,M29,4008,5980,3793,3650,2045,5147,2674,1119,8016,2632,2524,5841,4501,5790,2432,3337,N
